City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bredasdorp,ZA,-34.5322,20.0403,62.28,93,100,5.39,light rain
80,Barrow,US,71.2906,-156.7887,10.42,67,40,14.97,scattered clouds
81,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.2,69,100,4.43,overcast clouds
82,Garden City,US,42.3256,-83.331,40.01,62,90,1.99,overcast clouds
83,Kodiak,US,57.79,-152.4072,26.11,100,90,0.0,overcast clouds
84,Chalmette,US,29.9427,-89.9634,80.01,63,40,5.99,scattered clouds
85,Yerbogachen,RU,61.2767,108.0108,-13.4,100,100,2.98,overcast clouds
86,Jaca,ES,42.569,-0.5499,39.02,95,55,10.07,light rain
87,Hermanus,ZA,-34.4187,19.2345,62.91,94,100,11.65,light rain
88,Pangnirtung,CA,66.1451,-65.7125,17.6,93,90,16.11,light snow
89,Port Hardy,CA,50.6996,-127.4199,35.76,93,90,2.3,overcast clouds
90,Lac Du Bonnet,CA,50.2536,-96.0612,25.7,85,100,7.63,overcast clouds
91,Vega De Alatorre,MX,20.0333,-96.6333,81.0,66,0,11.7,clear sky
92,Carnarvon,AU,-24.8667,113.6333,75.27,69,0,18.41,clear sky
93,Kruisfontein,ZA,-34.0033,24.7314,67.89,85,94,6.02,overcast clouds
94,Ballina,AU,-28.8667,153.5667,64.78,99,83,6.08,broken clouds
95,Victoria,HK,22.2855,114.1577,65.32,68,92,5.01,overcast clouds
96,Nanjing,CN,32.0617,118.7778,43.77,56,0,3.15,clear sky
97,Camacha,PT,33.0833,-16.3333,63.36,77,75,14.97,broken clouds
98,Nanning,CN,22.8167,108.3167,48.65,50,18,2.39,few clouds
99,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,6.91,broken clouds
100,Dingle,PH,10.9995,122.6711,71.51,90,50,6.85,scattered clouds
101,Fortuna,US,40.5982,-124.1573,50.67,100,90,0.0,overcast clouds
102,Tigil,RU,57.8,158.6667,21.15,90,100,20.36,snow
103,Ribeira Grande,PT,38.5167,-28.7,64.8,68,40,8.05,scattered clouds
104,San Patricio,US,28.017,-97.5169,84.61,62,100,17.72,overcast clouds
105,Gat,IL,31.61,34.7642,61.39,8,2,8.19,clear sky
106,Najran,SA,17.4924,44.1277,59.22,33,0,1.57,clear sky
107,Ust-Nera,RU,64.5667,143.2,-26.63,98,100,5.5,overcast clouds
108,The Valley,AI,18.217,-63.0578,84.81,65,40,17.27,scattered clouds
109,Maningrida,AU,-12.0667,134.2667,81.41,77,99,4.34,overcast clouds
110,Arlit,NE,18.7369,7.3853,73.17,15,5,9.62,clear sky
111,Aksu,CN,41.1231,80.2644,31.24,44,100,2.64,overcast clouds
112,Luderitz,NA,-26.6481,15.1594,62.85,83,0,14.74,clear sky
113,Antofagasta,CL,-23.65,-70.4,65.48,63,22,9.1,few clouds
114,Fort Nelson,CA,58.8053,-122.7002,-18.81,76,1,5.75,clear sky
115,Saldanha,ZA,-33.0117,17.9442,60.85,93,13,16.02,few clouds
116,Bambous Virieux,MU,-20.3428,57.7575,79.21,73,40,8.05,scattered clouds
117,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,64,75,16.11,broken clouds
118,Hithadhoo,MV,-0.6,73.0833,81.41,79,100,14.9,overcast clouds
119,Andenes,NO,69.3143,16.1194,19.38,73,75,12.66,broken clouds
120,Baherden,TM,38.4362,57.4316,49.35,50,3,6.78,clear sky
121,Kupang,ID,-10.1667,123.5833,80.11,83,99,6.4,overcast clouds
122,Portland,US,45.5234,-122.6762,46.04,89,40,1.01,scattered clouds
123,Padang,ID,-0.9492,100.3543,76.77,87,99,2.46,overcast clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,84.51,63,40,8.05,scattered clouds
125,Bethel,US,41.3712,-73.414,46.99,39,1,3.44,clear sky
126,Bubaque,GW,11.2833,-15.8333,81.41,65,98,10.85,overcast clouds
127,Auki,SB,-8.7676,160.7034,77.4,88,90,5.86,moderate rain
128,Dakar,SN,14.6937,-17.4441,79.68,78,100,6.91,overcast clouds
129,Kamaishi,JP,39.2667,141.8833,38.39,72,4,9.08,clear sky
130,Bluff,NZ,-46.6,168.3333,47.8,51,95,10.51,overcast clouds
131,Labuhan,ID,-6.8844,112.2051,78.87,80,100,9.84,moderate rain
132,Sibu,MY,2.3,111.8167,75.51,94,40,0.0,scattered clouds
133,Snyder,US,32.7179,-100.9176,79.09,35,1,17.27,clear sky
134,Jiaojiang,CN,28.6803,121.4428,48.99,85,2,5.37,clear sky
135,New Norfolk,AU,-42.7826,147.0587,51.3,65,91,2.62,overcast clouds
136,Rosarito,MX,32.3333,-117.0333,69.93,67,0,8.28,clear sky
137,Villaviciosa,ES,43.4813,-5.4357,54.0,95,100,11.88,overcast clouds
138,Olafsvik,IS,64.8945,-23.7142,42.12,90,100,23.64,light rain
139,Lebu,CL,-37.6167,-73.65,65.05,61,0,13.58,clear sky
140,Upernavik,GL,72.7868,-56.1549,27.75,73,100,1.41,overcast clouds
141,Tangzhai,CN,34.4328,116.5911,42.49,48,0,7.45,clear sky
142,Tomatlan,MX,19.9333,-105.25,88.0,55,100,3.6,overcast clouds
143,Gusau,NG,12.1628,6.6614,78.67,22,23,8.52,few clouds
144,Grootfontein,NA,-19.5667,18.1167,74.77,64,0,11.5,clear sky
145,Turgutlu,TR,38.4953,27.6997,56.08,84,1,4.81,clear sky
146,Saint-Augustin,CA,51.226,-58.6502,23.45,54,100,8.12,overcast clouds
147,Salalah,OM,17.0151,54.0924,73.49,56,0,4.61,clear sky
148,Georgetown,MY,5.4112,100.3354,77.9,79,20,9.22,few clouds
149,Maniitsoq,GL,65.4167,-52.9,28.4,75,100,27.0,light snow
150,Pacific Grove,US,36.6177,-121.9166,68.63,77,1,3.0,clear sky
151,Pangoa,PE,-12.1167,-73.0,81.72,65,100,2.95,overcast clouds
152,Chuy,UY,-33.6971,-53.4616,71.78,65,93,11.92,overcast clouds
153,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,0,3.44,clear sky
154,Urucara,BR,-2.5364,-57.76,91.94,45,100,5.23,overcast clouds
155,Mutis,CO,6.2262,-77.4044,80.42,87,100,9.08,light rain
156,Siteki,SZ,-26.45,31.95,68.63,78,95,3.38,overcast clouds
157,Escanaba,US,45.7453,-87.0646,30.94,95,90,21.85,snow
158,Saint-Francois,FR,46.4154,3.9054,39.67,92,90,13.8,overcast clouds
159,Chokurdakh,RU,70.6333,147.9167,-42.45,100,61,4.94,broken clouds
160,Chunoyar,RU,57.4467,97.3217,26.71,94,100,10.56,light snow
161,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,0,17.27,clear sky
162,Saskylakh,RU,71.9167,114.0833,-23.33,95,100,9.73,overcast clouds
163,Cortez,US,37.3489,-108.5859,56.03,33,1,14.97,clear sky
164,Olmos,PE,-5.9847,-79.7453,81.9,41,86,7.49,overcast clouds
165,Imeni Poliny Osipenko,RU,52.4201,136.4853,1.58,99,99,2.98,overcast clouds
166,Hasaki,JP,35.7333,140.8333,45.28,63,100,10.27,overcast clouds
167,Salinopolis,BR,-0.6136,-47.3561,81.5,82,28,11.72,heavy intensity rain
168,Tuatapere,NZ,-46.1333,167.6833,47.82,81,100,2.95,overcast clouds
169,Saveh,IR,35.0213,50.3566,47.43,51,100,1.41,overcast clouds
170,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,31,20,21.85,few clouds
171,Rockford,US,42.2711,-89.094,35.19,86,90,8.05,light intensity drizzle
172,Cayenne,GF,4.9333,-52.3333,84.24,83,75,4.0,broken clouds
173,Zabol,AF,32.25,67.25,37.36,63,0,8.77,clear sky
174,Mitsamiouli,KM,-11.3847,43.2844,81.7,76,40,11.36,scattered clouds
175,Arona,ES,28.0996,-16.681,65.14,62,40,19.57,scattered clouds
176,Raudeberg,NO,61.9875,5.1352,35.2,79,100,5.01,overcast clouds
177,Houma,US,29.5958,-90.7195,80.01,65,40,9.22,scattered clouds
178,Hokitika,NZ,-42.7167,170.9667,55.4,83,99,6.76,overcast clouds
179,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,63,75,19.57,broken clouds
180,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,78,66,3.85,broken clouds
181,Kaseda,JP,31.4167,130.3167,52.38,73,98,7.36,overcast clouds
182,Sevierville,US,35.8681,-83.5618,64.6,75,75,0.0,broken clouds
183,Nemuro,JP,43.3236,145.575,38.86,59,0,8.95,clear sky
184,Namibe,AO,-15.1961,12.1522,73.87,61,2,9.57,clear sky
185,Hella,NO,67.2,14.4333,15.94,48,0,23.02,clear sky
186,Hambantota,LK,6.1241,81.1185,77.72,87,12,5.17,moderate rain
187,Beloha,MG,-25.1667,45.05,75.79,78,0,6.11,clear sky
188,Sioux Lookout,CA,50.1001,-91.917,21.58,93,90,2.3,overcast clouds
189,Kanniyakumari,IN,8.0833,77.5667,79.93,83,37,9.57,scattered clouds
190,Kuytun,RU,54.3419,101.5036,14.52,93,92,5.17,overcast clouds
191,Saint George,US,37.1041,-113.5841,69.35,37,1,0.0,clear sky
192,Richards Bay,ZA,-28.783,32.0377,76.75,76,83,13.02,broken clouds
193,Gijon,ES,43.5357,-5.6615,53.83,89,96,11.12,overcast clouds
194,Grand Gaube,MU,-20.0064,57.6608,79.38,66,2,3.0,clear sky
195,Jamestown,US,42.097,-79.2353,42.53,53,90,8.01,overcast clouds
196,Montepuez,MZ,-13.1256,38.9997,76.86,67,100,10.54,overcast clouds
